name,author,narrator,time,releasedate,language,stars,price,ratings
The Worst Witch,Jill Murphy,Gemma Arterton,65,2014-09-04,English,5.0,410.00,4
Magic Tree House: Books 29 & 30,Mary Pope Osborne,Mary Pope Osborne,130,2018-08-07,English,5.0,502.00,1
Classic Goosebumps: The Ghost Next Door,R.L.Stine,Emily Eiden,146,2015-08-01,English,5.0,351.00,5
Magic Tree House: Books 31 & 32,Mary Pope Osborne,Mary Pope Osborne,132,2019-07-09,English,5.0,502.00,1
Gates of Rome,Alex Scarrow,Trevor White,726,2014-01-02,English,5.0,820.00,1
Alice in Wonderland and Through the Looking Glass,Lewis Carroll,Shelby Lewis,406,2012-07-18,English,4.5,668.00,2
It's Alive! It's Alive!,R.L.Stine,"Joe Fria,Stephanie Drake",178,2019-02-26,English,4.5,422.00,3
Amari and the Night Brothers,B.B.Alston,Imani Parks,671,2021-01-21,English,4.0,930.00,1
A Scare of a Dare,Zack Zombie,Nathan WWood,34,2015-12-04,English,4.0,132.00,4
I Am Slappy's Evil Twin,R.L.Stine,"Joe Fria,Aaron Landon,P.J.Ochlan",170,2017-09-26,English,4.5,422.00,3
The Wizenard Series: Training Camp,Wesley King,Phylicia Rashad,1122,2019-03-19,English,4.0,938.00,2
The Worst Witch Strikes Again,Jill Murphy,Gemma Arterton,54,2014-09-04,English,4.5,410.00,2
Diary of a Dummy,R.L.Stine,Joe Fria,147,2020-03-03,English,5.0,445.00,3
The Minnesota Chronicles,Morgan Taylor,Morgan Taylor,257,2019-09-19,English,5.0,501.00,1
Mummy Fairy and Me: Unicorn Wishes,Sophie Kinsella,Sophie Aldred,68,2019-03-07,English,2.0,410.00,1
Minecraft Dungeons: Rise of the Arch-Illager,Matt Forbeck,Dan Bittner,442,2020-07-09,English,5.0,888.00,5
The Giraffe and the Pelly and Me,Roald Dahl,Hugh Laurie,45,2014-09-11,English,5.0,615.00,9
The Magic Flower Shop,Gina Mayer,Khristine Hvam,105,2021-02-04,English,5.0,501.00,1
Vampire Academy: Blood Promise,Richelle Mead,Emily Shaffer,786,2011-09-21,English,5.0,820.00,4
The Kill Order,James Dashner,Mark Deakins,598,2013-06-03,English,4.5,702.00,5
Ha... Ha... Hasya!,Ashok Rajagopalan,"Tuhin Menon,Rwit Ghosh,Malavika S.",92,2022-03-24,English,5.0,137.00,1
"The 39 Clues, Book 2",Gordon Korman,David Pittu,248,2008-12-02,English,5.0,468.00,11
Artemis Fowl and the Eternity Code,Eoin Colfer,Gerry O'Brien,467,2014-07-03,English,4.0,820.00,11
Dragons at Crumbling Castle,Terry Pratchett,Julian Rhind-Tutt,248,2014-09-11,English,5.0,547.00,1
The Smartest Giant in Town,Julia Donaldson,"Imelda Staunton,Jim Carter,Steven Pacey",30,2008-10-07,English,5.0,323.00,5
Best Nerds Forever,"James Patterson,Chris Grabenstein",Mark Sanderlin,265,2021-05-03,English,5.0,500.00,3
Zoey and Sassafras: Grumplets and Pests,Asia Citro,Janina Edwards,68,2021-06-15,English,5.0,585.00,1
Salah,"Matt Oldfield,Tom Oldfield",Jude Owusu,165,2020-09-03,English,5.0,227.00,1
Rashford,"Matt Oldfield,Tom Oldfield",Jude Owusu,168,2020-08-18,English,3.0,569.00,1
The Sky at Our Feet,Nadia Hashimi,Kirby Heyborne,411,2018-03-06,English,5.0,"1,181.00",1
The Railway Children,E.Nesbitt,Jenny Agutter,164,2010-05-12,English,4.5,410.00,2
Elbow Grease,John Cena,John Cena,7,2019-05-21,English,4.0,251.00,1
LEGO City,Ace Landers,Amy Mc Fadden,13,2018-09-25,English,5.0,164.00,2
Mercy Watson Goes for a Ride,Kate Di Camillo,Ron Mc Larty,22,2006-10-13,English,4.0,301.00,1
"20,000 Leagues Under the Sea","Jules Verne,Tony Lee","Adrian Lester,Clive Mantle,Carla Mendonca,",205,2020-08-20,English,3.0,292.00,1
Elbow Grease: Fast Friends,John Cena,John Cena,9,2020-09-29,English,5.0,251.00,1
Algorithms to Live By,"Brian Christian,Tom Griffiths",Brian Christian,710,2016-04-19,English,4.5,"1,005.00",188
The Age of Surveillance Capitalism,Shoshana Zuboff,Nicol Zanzarella,1456,2019-01-28,English,5.0,500.00,25
The Gene,Siddhartha Mukherjee,Dennis Boutsikaris,1161,2016-06-02,English,4.5,683.00,113
AI 2041,"Kai-Fu Lee,Chen Qiufan","Feodor Chin,James Chen,Soneela Nankani,",1084,2021-09-16,English,5.0,"1,093.00",8
A Thousand Brains,"Jeff Hawkins,Richard Dawkins-foreword","Jamie Renell,Richard Dawkins",520,2021-03-02,English,4.5,500.00,59
AWS Certified Solutions Architect Audio Crash Course,Audio Learn Content Team,Drew Hadwal,503,2020-07-13,English,5.0,668.00,3
Deep Medicine,Eric Topol,Graham Winton,666,2019-03-12,English,4.5,938.00,29
Superintelligence,Nick Bostrom,Napoleon Ryan,857,2014-09-03,English,4.0,836.00,37
Life 3.0,Max Tegmark,Rob Shapiro,809,2018-04-05,English,4.5,820.00,77
The Singularity Is Near,Ray Kurzweil,George Wilson,1478,2019-12-10,English,4.5,"1,633.00",5
Machine Learning: 4 Books in 1,Samuel Hack,Sean Antony,760,2020-04-06,English,5.0,836.00,1
"HBR's 10 Must Reads on AI, Analytics, and the New Machine Age","Harvard Business Review,Michael E.Porter,Thomas H.Davenport,","Shawn Compton,Teri Schnaubelt",325,2019-11-26,English,4.5,586.00,38
The Deep Learning Revolution,Terrence J.Sejnowski,Shawn Compton,485,2019-01-29,English,4.0,586.00,30
How We Learn,Stanislas Dehaene,Kaleo Griffith,601,2020-01-28,English,4.5,888.00,8
Nine Algorithms that Changed the Future,John Mac Cormick,Quentin Cooper,417,2020-09-22,English,5.0,538.00,4
DNA,"James D.Watson,Andrew Berry,Kevin Davies",Jonathan Cowley,1164,2017-08-22,English,5.0,"1,382.00",2
Artificial Intelligence,"Harvard Business Review,Thomas HDavenport,Erik Brynjolfsson,",Jonathan Todd Ross,211,2019-09-17,English,4.5,469.00,8
Genius Makers,Cade Metz,John Lee,599,2021-03-18,English,4.5,888.00,7
The Technology Trap,Carl Benedikt Frey,Richard Lyddon,931,2019-06-18,English,4.5,702.00,2
"The Year in Tech, 2022",Harvard Business Review,"Teri Schnaubelt,Jonathan Yen",195,2021-10-26,English,4.5,586.00,2
The Complete Ethical Hacking Course Bundle!,Charles Berry,"Matthew Bevan,Richard Pryce",2423,2021-04-26,English,1.0,"1,003.00",1
The Future of the Mind,Michio Kaku,Feodor Chin,938,2014-02-25,English,4.5,820.00,7
A World Without Work,Daniel Susskind,Daniel Susskind,596,2020-01-14,English,5.0,888.00,20
Artificial Intelligence for Dummies,"John Mueller,Luca Massaron",Chris Sorensen,812,2019-02-19,English,4.5,703.00,3
Prediction Machines,"Ajay Agrawal,Joshua Gans,Avi Goldfarb",LJGanser,470,2018-08-21,English,4.5,668.00,52
Framers,"Kenneth Cukier,Viktor Mayer-Schoenberger,Francisde Vericourt",Kaleo Griffith,466,2021-05-13,English,5.0,888.00,3
Information Architecture,"Louis Rosenfeld,Peter Morville,Jorge Arango",Theodore O'Brien,660,2021-03-26,English,5.0,"1,340.00",2
Atlas of AI,Kate Crawford,Larissa Gallagher,533,2021-12-21,English,5.0,586.00,1
The Artificial Intelligence Contagion,"David Barnhizer,Daniel Barnhizer",Stefan Rudnicki,720,2019-07-16,English,5.0,820.00,1
The Emperor's New Mind,Roger Penrose,Julian Elfer,1107,2019-10-15,English,5.0,820.00,4
Machine Learning: The New AI,Ethem Alpaydi,Steven Menasche,264,2016-09-26,English,4.5,586.00,12
Artificial Intelligence: 101 Things You Must Know Today About Our Future,Lasse Rouhiainen,Rodger Paxton,497,2018-12-31,English,4.5,622.00,14
Human + Machine,"Paul R.Daugherty,H.James Wilson",Jamie Renell,355,2018-04-10,English,4.5,668.00,14
Artificial Intelligence,Melanie Mitchell,"Abby Craden,Melanie Mitchell,Tony Wolf",573,2019-10-15,English,5.0,181.00,2
The Patient Will See You Now,Eric Topol MD,Eric Michael Summerer,676,2015-01-06,English,4.0,"1,008.00",4
Artificial Intelligence Basics,Tom Taulli,Al Kessel,505,2021-04-27,English,5.0,586.00,1
The Ascent of Information,Caleb Scharf,Jonathan Todd Ross,669,2021-06-15,English,5.0,"1,005.00",1
Coding Languages for Absolute Beginners: 6 Books in 1,Zach Webber,William Bahl,459,2018-12-26,English,2.5,668.00,2
Digital Transformation,Thomas M.Siebel,Thomas M.Siebel,548,2019-07-09,English,4.0,"1,003.00",4
A Crack in Creation,"Jennifer A.Doudna,Samuel H.Sternberg",Erin Bennett,562,2017-06-13,English,5.0,668.00,8
The Big Nine,Amy Webb,Amanda Dolan,575,2019-03-05,English,5.0,500.00,2
Deep Learning,John D.Kelleher,Joel Richards,349,2019-09-10,English,4.0,586.00,3
Advances in Financial Machine Learning,Marcos Lopezde Prado,Steven Jay Cohen,778,2018-06-19,English,5.0,703.00,1
"The Simulation Hypothesis: An MIT Computer Scientist Shows Why AI, Quantum Physics, and Eastern Mystics All Agree We Are in a Video Game",Rizwan Virk,Kory Getman,562,2019-05-15,English,5.0,668.00,1
Life at the Speed of Light,J.Craig Venter,Bob Souer,416,2013-10-17,English,5.0,820.00,1
The Master Switch,Tim Wu,Marc Vietor,851,2010-11-02,English,5.0,"1,003.00",2
Architects of Intelligence,Martin Ford,Mike Chamberlain,1207,2019-11-19,English,3.5,820.00,3
The Tech Whisperer,Jaspreet Bindra,Anuj Datta,628,2021-02-15,English,5.0,879.00,2
The Art of Deception,Kevin Mitnick,Nick Sullivan,821,2020-07-10,English,5.0,694.00,1
Augmented,"Brett King,Andy Lark,Alex Lightman,",Steven Jay Cohen,743,2017-08-15,English,4.5,"1,008.00",4
Smart Business,Ming Zeng,Neil Shah,628,2020-10-27,English,4.5,351.00,2
Human Compatible,Stuart Russell,Raphael Corkhill,698,2019-10-08,English,4.5,888.00,6
Enterprise Artificial Intelligence Transformation,Rashed Haq,Perry Daniels,634,2020-07-14,English,5.0,586.00,2
What to Do When Machines Do Everything,"Malcolm Frank,Paul Roehrig,Ben Pring",Eric Jason Martin,448,2017-04-28,English,4.5,668.00,5
Drone Wars,Seth J.Frantzman,Jonathan Todd Ross,471,2021-06-22,English,5.0,703.00,1
Deep Tech,Eric Redmond,Patrick O’Connell,534,2021-04-29,English,4.0,469.00,1
Computational Thinking,"Peter J.Denning,Matti Tedre",Steven Jay Cohen,356,2019-04-23,English,5.0,586.00,1
Big Mind,Geoff Mulgan,Julian Elfer,530,2017-11-28,English,5.0,820.00,1
How to Speak Machine,John Maeda,Dani Martineck,353,2019-11-21,English,1.0,888.00,2
Possible Minds,John Brockman-editor,"Kathleen Mc Inerney,Will Damron,Jason Culp,",639,2019-02-19,English,1.0,"1,005.00",1
AI Ethics,Mark Coeckelbergh,Liam Gerrard,249,2020-04-07,English,4.5,586.00,3
Decoding Reality,Vlatko Vedral,Jay Russell,551,2010-04-06,English,5.0,836.00,2
The Artist in the Machine,Arthur I.Miller,Adam Lofbomm,609,2020-01-21,English,4.0,703.00,1
Rebooting AI,"Gary Marcus,Ernest Davis",Kaleo Griffith,444,2019-09-10,English,4.5,879.00,8
Think for Yourself,Vikram Mansharamani,Mike Lenz,588,2020-08-25,English,4.5,586.00,2
Advanced Analytics and AI,Tony Boobier,Matthew Waterson,646,2019-05-07,English,5.0,703.00,2
Alan Turing: The Enigma,Andrew Hodges,Gordon Griffin,1840,2012-06-23,English,3.0,"1,138.00",2
Our Final Invention,James Barrat,Gary Dana,556,2014-05-29,English,4.0,668.00,7
Tomorrow's Medicine,Scientific American,Alex Boyles,366,2020-11-24,English,5.0,702.00,1
The Second Machine Age,"Erik Brynjolfsson,Andrew Mc Afee",Jeff Cummings,529,2014-01-20,English,5.0,703.00,4
Humans Need Not Apply,Jerry Kaplan,John Pruden,358,2016-03-15,English,5.0,703.00,3
Automate This,Christopher Steiner,Walter Dixon,461,2012-09-12,English,5.0,820.00,2
"The Year in Tech, 2021",Harvard Business Review,"Wendy Tremont King,Graham Rowat",173,2020-09-22,English,4.5,351.00,3
Novacene,James Lovelock,Roy Mc Millan,200,2019-07-04,English,5.0,888.00,2
An Introduction to Information Theory,John R.Pierce,Kyle Tait,612,2019-10-08,English,5.0,703.00,2
Why Information Grows,César Hidalgo,Stephen Hoye,354,2016-08-23,English,4.5,668.00,2
How Smart Machines Think,"Sean Gerrish,Kevin Scott-foreword",Timothy Andrés Pabon,545,2018-08-24,English,5.0,586.00,3
Artificial You,Susan Schneider,Katherine Fenton,311,2019-10-01,English,5.0,585.00,1
On the Future,Martin Rees,"Martin Rees,Samuel West",326,2018-10-24,English,5.0,445.00,1
Digital Wars,Charles Arthur,Stephen Rashbrook,662,2013-01-21,English,5.0,721.00,1
The Age of Living Machines,Susan Hockfield,Andrea Gallo,395,2019-05-07,English,3.0,703.00,1
Understanding Beliefs,Nils J.Nilsson,Don Hagen,166,2015-08-25,English,5.0,469.00,1
Info We Trust,RJAndrews,Sean Pratt,427,2019-08-06,English,5.0,586.00,1
Talk to Me,James Vlahos,James Vlahos,629,2019-03-28,English,5.0,820.00,2
Only Humans Need Apply,"Thomas H.Davenport,Julia Kirby",Shawn Compton,609,2020-03-24,English,5.0,703.00,1
A Prescription for Change,Michael Kinch,William Hughes,807,2016-11-07,English,5.0,820.00,2
Who's Afraid of AI?,Thomas Ramge,Tom Parks,167,2019-04-16,English,5.0,670.00,1
No One at the Wheel,"Samuel I.Schwartz,Karen Kelly-contributor",Gregory Abbey,514,2018-11-13,English,5.0,500.00,1
The Re-Origin of Species,"Torill Kornfeldt,Fiona Graham",Alix Dunmore,347,2018-11-08,English,5.0,569.00,1
Driverless,"Hod Lipson,Melba Kurman",George Newbern,597,2016-10-07,English,5.0,820.00,1
Designing Data-Intensive Applications,Martin Kleppmann,Benjamin Lange,1256,2021-02-05,English,5.0,"1,675.00",24
The Model Thinker,Scott E.Page,Jamie Renell,945,2021-03-16,English,3.0,500.00,1
How to Win an Indian Election,Shivam Shankar Singh,Terry D’Souza,405,2019-11-19,English,4.5,879.00,51
Competing in the Age of AI,"Marco Iansiti,Karim R.Lakhani",Steven Jay Cohen,578,2020-01-07,English,4.0,586.00,8
Blockchain,"Harvard Business Review,Catherine Tucker,Don Tapscott,",Jonathan Todd Ross,203,2019-09-17,English,4.5,469.00,9
The Real Business of Blockchain,"David Furlonger,Christophe Uzureau",Jonathan Todd Ross,465,2019-10-29,English,4.5,586.00,3
Behind Every Good Decision,"Piyanka Jain,Puneet Sharma",Karen Saltus,349,2014-11-05,English,4.0,656.00,1
"Data Mining Techniques, Third Edition","Gordon S.Linoff,Michael J.A.Berry",Steve Menasche,2313,2018-12-25,English,5.0,938.00,2
Big Data in Practice,Bernard Marr,Piers Hampton,445,2017-08-15,English,4.5,668.00,12
Strategic Analytics,Harvard Business Review,Jonathan Todd Ross,183,2020-04-21,English,4.0,351.00,5
The Business Blockchain,"William Mougayar,Vitalik Buterin",Christopher Grove,311,2016-11-15,English,3.5,668.00,2
Infonomics,Douglas B.Laney,"Tim Andres Pabon,Douglas B.Laney",614,2017-10-09,English,4.0,703.00,1
The New World Economy,Randy Charles Epping,George Newbern,409,2020-01-21,English,4.5,754.00,3
The Internet of Things,Samuel Greengard,Derek Shetterly,258,2015-04-22,English,4.5,656.00,3
The Fuzzy and the Techie,Scott Hartley,Scott Merriman,515,2017-04-25,English,5.0,703.00,4
Phishing Dark Waters,"Christopher Hadnagy,Michele Fincher","Christopher Hadnagy,Michele Fincher",324,2016-11-15,English,4.5,668.00,2
Digital Minimalism,Cal Newport,Will Damron,420,2019-02-05,English,4.5,820.00,329
Exponential,Azeem Azhar,Azeem Azhar,583,2021-09-07,English,5.0,888.00,4
Super Pumped,Mike Isaac,"Holter Graham,Mike Isaac",772,2019-09-03,English,4.5,"1,171.00",59
ColdFusion Presents,Dagogo Altraide,Ron Butler,698,2019-02-26,English,5.0,586.00,130
Modern Monopolies,"Nicholas L.Johnson,Alex Moazed",Jonathan Yen,607,2017-11-14,English,5.0,836.00,20
So You've Been Publicly Shamed,Jon Ronson,Jon Ronson,496,2015-03-12,English,4.5,569.00,11
The Inevitable,Kevin Kelly,George Newbern,690,2016-06-07,English,4.5,"1,131.00",19
The Art of Invisibility,Kevin Mitnick,Ray Porter,557,2017-02-14,English,4.5,500.00,16
Stealing Fire,"Steven Kotler,Jamie Wheal",Fred Sanders,504,2017-02-21,English,4.5,"1,350.00",39
How to Do Nothing,Jenny Odell,Rebecca Gidel,490,2019-07-15,English,4.0,645.00,18
A World Without Email,Cal Newport,Kevin R.Free,556,2021-03-04,English,4.5,888.00,7
Thank You for Being Late,Thomas L.Friedman,Mr Oliver Wyman,1187,2017-01-12,English,4.5,820.00,11
Social Engineering,"Paul Wilson-foreword,Christopher Hadnagy",A.T.Chandler,892,2020-07-10,English,5.0,735.00,3
The Fourth Industrial Revolution,Klaus Schwab,Mr Nicholas Guy Smith,332,2017-01-05,English,4.5,615.00,5
Soonish,"Dr.Kelly Weinersmith,Zach Weinersmith","Dr.Kelly Weinersmith,Joseph May",533,2017-10-17,English,4.5,683.00,2
Failure Is Not an Option,Gene Kranz,Danny Campbell,1094,2011-08-29,English,4.5,"1,289.00",8
Being Online,"Jian Wang,Jack Ma-foreword",Timothy Andrés Pabon,553,2021-12-31,English,4.0,586.00,1
Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier,Oliver Wyman,283,2018-05-31,English,4.5,615.00,24
My Brain Has Too Many Tabs Open,Tanya Goodin,Tanya Goodin,265,2021-09-21,English,2.5,469.00,3
LikeWar,"P.W.Singer,Emerson T.Brooking",George Guidall,681,2018-10-02,English,4.0,938.00,6
Wild Ideas in Science,Scientific American,"Kirsten Potter,Bernadette Dunne,Mack Sanderson,",368,2021-08-24,English,2.0,702.00,1
A Man on the Moon: The Voyages of the Apollo Astronauts,Andrew Chaikin,Bronson Pinchot,1380,2015-10-13,English,4.5,"1,003.00",3
Privacy 3.0,Rahul Matthan,Rahul Matthan,340,2021-02-12,English,4.5,668.00,7
Cyber Privacy,April Falcon Doss,Chloe Cannon,709,2020-12-15,English,5.0,703.00,1
The Driver in the Driverless Car,"Vivek Wadhwa,Alex Salkever",Pallavi Bharti,393,2021-03-03,English,5.0,900.00,1
Tech Trends in Practice,Bernard Marr,Rich Miller,424,2021-02-16,English,4.5,586.00,3
Ignition!,"John Drury Clark,Isaac Asimov-foreward",Jonathan Todd Ross,559,2018-05-15,English,4.5,"1,005.00",3
Nikola Tesla and the Electrical Future,Iwan Rhys Morus,Jeff Harding,401,2019-10-03,English,5.0,569.00,1
Data Feminism,"Catherine D'Ignazio,Lauren F.Klein",Teri Schnaubelt,457,2020-09-23,English,5.0,586.00,1
Uberland,Alex Rosenblat,Emily Beresford,448,2018-10-23,English,5.0,703.00,1
The Alchemy of Us,Ainissa Ramirez,Allyson Johnson,473,2020-04-07,English,3.5,586.00,3
Bored and Brilliant,Manoush Zomorodi,Manoush Zomorodi,418,2017-09-05,English,5.0,134.00,2
Power to the Public,"Tara Dawson Mc Guinness,Hana Schank",Kirsten Potter,307,2021-04-13,English,5.0,703.00,1
The Optimist's Telescope,Bina Venkataraman,Bina Venkataraman,606,2019-08-27,English,5.0,"1,005.00",1
Countdown to Zero Day,Kim Zetter,Joe Ochman,780,2014-11-11,English,4.5,"1,131.00",8
Smart Phone Dumb Phone,Allen Carr,Jot Davies,455,2019-09-05,English,5.0,569.00,2
Wizard,Marc J.Seifer,Simon Prebble,1333,2011-11-07,English,3.0,"1,407.00",1
Girl Decoded,"Ranael Kaliouby,Claire Colman",Ranael Kalioubi,703,2020-04-23,English,5.0,888.00,13
Block by Block,Robert T.Hanlon,Paul Heitsch,2027,2020-10-27,English,4.0,703.00,1
Rewiring Education,"John D.Couch,Jason Towne,Steve Wozniak",P.J.Ochlan,439,2018-05-08,English,5.0,586.00,3
Reclaiming Conversation,Sherry Turkle,Kirsten Potter,791,2015-10-06,English,2.0,"1,131.00",1
The Authority Gap,Mary Ann Sieghart,Mary Ann Sieghart,606,2021-07-01,English,5.0,888.00,1
Where Will Man Take Us,Atul Jalan,Sumit Kaul,602,2020-04-10,English,4.5,879.00,4
AIQ,"Nick Polson,James Scott","Nick Polson,Walter Dixon",483,2018-06-07,English,4.0,752.00,2
The Mobile Wave,Michael Saylor,LJGanser,523,2013-05-20,English,5.0,668.00,1
Einstein's War,Matthew Stanley,Matthew Stanley,723,2019-05-23,English,5.0,820.00,1
The Grid,Gretchen Bakke,Emily Caudwell,668,2016-09-08,English,4.5,721.00,2
The Future of the Professions,"Richard Susskind,Daniel Susskind",John Lee,759,2016-01-26,English,4.5,836.00,3
Tesla,W.Bernard Carlson,Allan Robertson,971,2014-01-16,English,4.0,"1,003.00",4
Like a Thief in Broad Daylight,SlavojŽižek,Jamie East,485,2018-09-20,English,3.5,683.00,2
GPS,Paul E.Ceruzzi,Stephen Bel Davies,258,2019-03-12,English,5.0,351.00,1
Clear Bright Future,Paul Mason,Finlay Robertson,817,2019-05-02,English,5.0,820.00,1
The Soul of a New Machine,Tracy Kidder,Ben Sullivan,543,2016-05-17,English,4.5,500.00,9
The Modern Detective,Tyler Maroney,William De Meritt,372,2020-09-29,English,5.0,879.00,1
Mismatch,"Kat Holmes,John Maeda-foreword",Kat Holmes,227,2020-01-28,English,4.5,469.00,4
Whiplash,"Joi Ito,Jeff Howe",James Foster,468,2016-12-06,English,4.0,703.00,1
You Belong to the Universe,Jonathon Keats,Josh Bloomberg,320,2016-07-25,English,5.0,702.00,4
Taking on Gravity,Richard Browning,Richard Browning,420,2021-05-06,English,4.0,888.00,2
Stealth,Peter Westwick,Davidde Vries,466,2021-05-04,English,4.0,586.00,1
Conquering the Electron,"Derek Cheung,Eric Brach",Eric Jason Martin,848,2020-03-01,English,5.0,703.00,5
New Power,"Jeremy Heimans,Henry Timms",Andrew Fallaize,590,2018-04-19,English,5.0,323.00,2
The End of Ownership,"Aaron Perzanowski,Jason Schultz",Paul Michael Garcia,602,2016-11-11,English,4.0,820.00,1
Smarter Than You Think,Clive Thompson,Jeff Cummings,640,2014-09-25,English,5.0,493.00,1
The Future of Happiness,"Amy Blankson,Shawn Achor-foreword",Amy Blankson,333,2017-04-11,English,4.0,702.00,1
Alien Thinking,"Cyril Bouquet,Jean-Louis Barsoux,Michael Wade",Daniel Henning,578,2021-03-18,English,4.0,888.00,1
Foxbat Tales,Mike Guardia,Johnny Heller,187,2021-03-20,English,5.0,585.00,1
Screen Time,Becca Caddy,Julie Maisey,646,2021-01-07,English,4.0,"1,328.00",5
Replay,"Tristan Donovan,Richard Garriott",Gary Furlong,915,2017-06-06,English,5.0,"1,055.00",1
How We Got to Now,Steven Johnson,George Newbern,371,2016-01-28,English,5.0,683.00,5
How to Make a Spaceship,Julian Guthrie,"Sir Richard Branson,Robert Shapiro",996,2016-09-22,English,4.0,820.00,1
Cult of the Dead Cow,Joseph Menn,Jonathan Davis,491,2019-06-04,English,5.0,500.00,1
Robot-Proof,Joseph E.Aoun,John Glouchevitch,305,2018-04-10,English,4.0,586.00,1
The Most Human Human,Brian Christian,Brian Christian,577,2011-03-01,English,4.0,"1,005.00",2
The Powerhouse,Steve Le Vine,Mike Chamberlain,648,2015-02-05,English,5.0,"1,005.00",2
"Machine, Platform, Crowd","Erik Brynjolfsson,Andrew Mc Afee",Jeff Cummings,657,2017-06-27,English,5.0,703.00,8
To Engineer Is Human,Henry Petroski,Matthew Boston,514,2018-03-27,English,4.5,586.00,3
The People Vs Tech,Jamie Bartlett,Sandro Monetti,305,2018-04-19,English,4.5,615.00,4
The Revenge of Analog,David Sax,David Sax,557,2016-11-08,English,5.0,500.00,1
Because Internet,Gretchen Mc Culloch,Gretchen Mc Culloch,480,2019-10-03,English,5.0,888.00,1
Valley of Genius,Adam Fisher,Pete Larkin,1133,2018-07-10,English,5.0,500.00,1
The Seventh Sense,Joshua Cooper Ramo,Joshua Cooper Ramo,594,2016-05-17,English,3.0,500.00,1
Click Here to Kill Everybody,Bruce Schneier,Roger Wayne,486,2018-11-20,English,3.0,"1,003.00",1
Wonderland,Steven Johnson,George Newbern,523,2017-02-09,English,5.0,323.00,1
The Common Rule,Justin Whitmel Earley,William Sarris,345,2019-02-19,English,5.0,703.00,1
Team Human,Douglas Rushkoff,Douglas Rushkoff,336,2019-01-22,English,4.5,703.00,4
Screenwise,Devorah Heitner Ph D,Karen Saltus,390,2016-08-22,English,5.0,703.00,1
Kelly,"Clarence L.""Kelly""Johnson,Maggie Smith,Brig.Gen.Leo P.Geary USAF-ret.-foreword",Johnny Heller,366,2019-02-26,English,3.5,668.00,3
The Ascent of Humanity,Charles Eisenstein,Steve Wojtas,1646,2017-08-22,English,5.0,"1,404.00",3
Vote.com,Dick Morris,uncredited,205,2000-01-07,English,3.0,74.00,1
Inventology,Pagan Kennedy,"Jennifer Vuletic,Pagan Kennedy",479,2016-03-04,English,5.0,"1,328.00",1
Outnumbered,David Sumpter,David West,481,2018-05-17,English,5.0,569.00,1
Smart Cities,Anthony Townsend,Jeremy Arthur,703,2013-12-17,English,4.0,836.00,2
Mars Rover Curiosity,"Rob Manning,William L.Simon",Bronson Pinchot,464,2014-10-21,English,4.5,820.00,3
The Victorian Internet,Tom Standage,Derek Perkins,322,2015-03-24,English,5.0,668.00,2
Quirky,Melissa A.Schilling,Erin Bennett,602,2018-02-13,English,5.0,500.00,1
Tomorrowland,Steven Kotler,Tom Parks,538,2015-05-12,English,2.0,836.00,1
Power to the People,Audrey Kurth Cronin,Teri Schnaubelt,760,2020-03-10,English,5.0,703.00,1
The Ethics of Invention,Sheila Jasanoff,Jo Anna Perrin,593,2016-10-25,English,4.0,"1,008.00",1
The Smartphone Society,Nicole Aschoff,Linda Bevilacqua Farber,369,2020-03-26,English,4.0,"1,005.00",1
Parenting in the Age of Attention Snatchers,Lucy Jo Palladino,Abby Craden,416,2015-06-16,English,5.0,668.00,1
Zero Day,"Robert O'Harrow Jr.,The Washington Post",Tom Pile,153,2015-01-13,English,5.0,233.00,1
Spacesuit: Fashioning Apollo,Nicholasde Monchaux,Bronson Pinchot,618,2014-05-13,English,5.0,836.00,1
Behemoth,Joshua B.Freeman,Stephen Bowlby,823,2018-02-27,English,4.0,"1,003.00",1
Moon Shot,"Alan Shepard,Deke Slayton,Jay Barbree,",Christopher Grove,835,2019-05-07,English,5.0,703.00,1
Crushing It!,Gary Vaynerchuk,"Gary Vaynerchuk,Rich Roll,Amy Schmittauer",482,2018-04-03,English,4.5,"1,350.00",55
YouTube Secrets,"Sean Cannell,Benji Travis","Sean Cannell,Benji Travis",218,2019-03-28,English,4.0,501.00,25
Subscribed,"Tien Tzuo,Gabe Weisert","Tien Tzuo,Dan Woren",461,2018-06-07,English,4.5,683.00,23
No Filter,Sarah Frier,"Sarah Frier,Megan Tusing",680,2020-04-16,English,4.5,888.00,154
"Trust Me, I'm Lying",Ryan Holiday,Ryan Holiday,385,2019-08-06,English,4.0,879.00,6
Get Rich or Lie Trying,Symeon Brown,Jake Fairbrother,398,2022-03-03,English,5.0,569.00,1
Instagram Power (Second Edition),Jason Miles,Doug Greene,413,2021-08-07,English,1.0,586.00,1
Digital for Good,Richard Culatta,Adam Verner,358,2021-07-21,English,4.0,586.00,1
Content Rules,"Ann Handley,C.C.Chapman","Ann Handley,C.C.Chapman",413,2011-08-18,English,5.0,703.00,1
Make Noise,Eric Nuzum,George Newbern,494,2019-12-10,English,4.0,"1,172.00",4
What It Takes,Raegan Moya-Jones,Raegan Moya-Jones,380,2019-05-09,English,5.0,683.00,1
Social Media Marketing for Beginners 2022,"Chandler Miller,Donald Preace",Curtis Wright,249,2019-10-04,English,3.5,501.00,3
Twitter and Tear Gas,Zeynep Tufekci,Carly Robins,835,2017-05-16,English,5.0,836.00,2
