name,author,narrator,time,releasedate,language,stars,price,ratings
"The Treasury of David, Vol. 1",C.H.Spurgeon,Bob Souer,2897,2017-12-12,English,5.0,"1,289.00",1
The Divine Romance,Gene Edwards,Paul Michael,249,2011-06-02,English,5.0,375.00,1
Discipleship,A.W.Tozer,Grover Gardner,253,2018-12-06,English,5.0,703.00,2
Positive Imaging,Norman Vincent Peale,Kevin Young,492,2015-11-19,English,5.0,668.00,6
Systematic Theology,John M.Frame,Bob Souer,3000,2019-11-19,English,4.5,"1,758.00",3
The Positive Power of Jesus Christ,Norman Vincent Peale,Tom Parks,473,2019-08-13,English,5.0,837.00,2
Didn't See It Coming,Carey Nieuwhof,Carey Nieuwhof,360,2018-09-04,English,5.0,754.00,2
The Knowledge of the Holy,A.W.Tozer,Scott Brick,302,2009-04-07,English,5.0,586.00,1
Sun Stand Still,Steven Furtick,Steven Furtick,384,2010-09-21,English,5.0,754.00,3
"Conversations with God: An Uncommon Dialogue, Book 2",Neale Donald Walsch,"Ellen Burstyn,Ed Asner",515,2008-10-30,English,4.5,668.00,2
From Eternity to Here,Frank Viola,Lloyd James,543,2009-05-18,English,5.0,680.00,1
Learning to Lead Like Jesus,Boyd Bailey,Tom Parks,452,2018-05-22,English,5.0,762.00,1
Coach Wooden's Pyramid of Success,"John Wooden,Jay Carty",Sean Runnette,244,2010-09-07,English,4.0,703.00,2
Jesus,A.W.Tozer,Joe Geoffrey,246,2017-03-22,English,5.0,703.00,1
Run with the Horses,Eugene H.Peterson,Lloyd James,366,2009-01-13,English,5.0,586.00,2
Sacred Rest,Saundra Dalton-Smith,Saundra Dalton-Smith,435,2017-12-19,English,4.5,500.00,2
"Change Your Words, Change Your Life",Joyce Meyer,Joyce Meyer,217,2018-02-20,English,5.0,610.00,1
The Art of Letting Go,Richard Rohr OFM,Richard Rohr OFM,358,2010-04-14,English,5.0,"1,640.00",4
The Pursuit of God,A.W.Tozer,James L.Snyder,234,2013-12-29,English,5.0,501.00,2
Wild at Heart,John Eldredge,John Eldredge,500,2003-12-28,English,4.5,773.00,3
Breathe Bible New Testament NLT,Tyndale,fullcast,1280,2018-12-14,English,5.0,703.00,1
The Complete Audio Holy Bible - KJV,Topics Media Group,"Jon Sherberg,James Earl Jones",4531,2018-12-14,English,4.0,"1,407.00",1
The Joy of Fearing God,Jerry Bridges,Al Sanders,185,2015-05-12,English,5.0,351.00,1
The Anger Management Workbook for Women,Julie Catalano MSWLICSW,Gabra Zackman,189,2019-01-29,English,4.0,501.00,2
Lost Books of the Bible: The Great Rejected Texts,Joseph B.Lumpkin,Dennis Logan,3193,2018-09-18,English,5.0,"1,003.00",1
Women of the Word,Jen Wilkin,Jen Wilkin,198,2015-03-31,English,5.0,586.00,1
Dirty Glory,Pete Greig,Pete Greig,725,2017-03-29,English,5.0,703.00,2
The Spiritual Man,Watchman Nee,Josh Miller,1538,2015-02-11,English,5.0,"1,003.00",2
Falling Upward,Richard Rohr,Richard Rohr,387,2011-06-08,English,4.5,914.00,7
What Should I Do Now that I'm a Christian?,Sam Emadi,Marcus Jackman,38,2021-10-11,English,5.0,117.00,1
Humbled,David Mathis,Josh Childs,118,2021-09-14,English,5.0,234.00,1
45 Romans - 2021,Skip Heitzig,Skip Heitzig,814,2021-09-02,English,5.0,70.00,1
The Power of Your Attitude,Stan Toler,Kevin Charles,361,2021-08-28,English,4.0,516.00,1
